Questions,Answers,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for Bachelor of Computer Science?,A Bachelor of Science in  Computer Science has a tuition fee of 630 dollars for Ugandan students and 760 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for Bachelor of Information Technology?,A Bachelor of Science in  Information Technology has a tuition fee of 630 dollars for Ugandan students and 760 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for Bachelor of Software Engineering?,A Bachelor of Science in Software Engineering has a tuition fee of 795 dollars for Ugandan students and 965 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for Bachelor of Environmental Science and Management?,A Bachelor of Science in  Environmental Science and Management has a tuition fee of 630 dollars for Ugandan students and 760 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for Bachelor of Science in Climate-Smart Agriculture?,A Bachelor of Science in Climate-Smart Agriculture has a tuition fee of 795 dollars for Ugandan students and 965 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: TUITION FEES FOR MASTER PROGRAMMES IN SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for Master of Information Technology?,Master of Information Technology (MIT) has a tuition fee of 800 dollars per semester for both international and Ugandan Students.,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: TUITION FEES FOR DIPLOMA PROGRAMMES IN ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for a Diploma in Electrical Engineering? ,A diploma in Electrical Engineering has a tuition fee of 420 dollars for Ugandan students and 505 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for a Diploma in Civil Engineering?,A diploma in Civil Engineering has a tuition fee of 420 dollars for Ugandan students and 505 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for a Diploma in Architecture?,A diploma in Architecture has a tuition fee of 420 dollars for Ugandan students and 505 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: TUITION FEES FOR BACHELOR PROGRAMMES IN ENGINEERING,,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for a bachelor of Electrical Engineering?,A Bachelor of Science in Electrical Engineering has a tuition fee of 900 dollars for Ugandan students and 1090 dollars for international students per semester. ,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for a Bachelor of Civil Engineering?,A Bachelor of Science in Civil Engineering has a tuition fee of 900 dollars for Ugandan students and 1090 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for a Bachelor of Architecture?,A Bachelor of Architecture has a tuition fee of 900 dollars for Ugandan students and 1090 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for a Bachelor of Science in Communications Engineering?,A Bachelor of Science in Communications Engineering has a tuition fee of 900 dollars for Ugandan students and 1090 dollars for international students per semester ,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for a Bachelor of Petroleum Engineering?,A Bachelor of Science in Petroleum Engineering has a tuition fee of 900 dollars for Ugandan students and 1090 dollars for international students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for a Bachelor of Science in Mechatronics and Robotics Engineering?,A Bachelor of Science in Mechatronics and Robotics Engineering has a tuition fee of 900 dollars for Ugandan students and 1090 dollars for International students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for a Bachelor of Science in Mining Engineering?,A Bachelor of Science in Mining Engineering has a tuition fee of 900 dollars for Ugandan students and 1090 dollars for International students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: TUITION FEES FOR BACHELOR PROGRAMMES IN LAW AND HUMANITIES,,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for a Bachelor of Law?,A Bachelor of Law has a tuition fee of 720 dollars for Ugandan students and 850 dollars for International students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for a Bachelor of International Relations and Diplomatic Studies?,A Bachelor of International Relations and Diplomatic Studies has a tuition fee of 565 dollars for Ugandan students and 680 dollars for International students per semester.,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: TUITION FEES FOR MASTER PROGRAMMES IN LAW AND HUMANITIES,,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for a Master of International Relations and Diplomatic Studies?,A Master of International Relations and Diplomatic Studies has a tuition fee of 800 dollars per semester for both International and Ugandan Students,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: TUITION FEES FOR SHORT COURSES IN SCIENCE AND TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition fee for CISCO?,"CISCO has a fee of 240 dollars, which has a 3 months duration.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: TUITION FEES FOR SHORT COURSES IN INNOVATION OR ENTREPRENEURSHIP,,,,,,,,,,,,,,,,,,,,,,,,,
What is the tuition for the Silicon Valley Innovation and Entrepreneurship short course?,"The Silicon Valley Innovation and Entrepreneurship short course has two phases, the first phase has a tuition fee of 400 dollars while the second phase has a tuition fee of 1700 dollars. For more information, please follow the link: https://iuea.ac.ug/innovations-entrepreneurship-webinar-and-workshop-short-course/",,,,,,,,,,,,,,,,,,,,,,,,
OTHER FEES ,,,,,,,,,,,,,,,,,,,,,,,,,
What is the functional fee for the first semester?,The functional fee for the first semester is 194 dollars,,,,,,,,,,,,,,,,,,,,,,,,
What is the functional fee for the second semester?,The functional fee for the second semester is 155 dollars,,,,,,,,,,,,,,,,,,,,,,,,
Are there any charges for equating documents?,"Yes, there are charges for equating documents. Both the National Council for Higher Education (NCHE) and the Uganda National Examinations Board (UNEB) require payment of a fee for this service. The amount charged may vary depending on the origin of the documents. We recommend that you contact these institutions directly for the most accurate and up-to-date information. For more details about the NCHE, please visit https://unche.or.ug/. To learn more about the UNEB, please visit https://uneb.ac.ug/.",,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY: ENROLMENT,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: APPLICATION,,,,,,,,,,,,,,,,,,,,,,,,,
How do I apply?,"You can apply in person at our campus in kansanga, Ggaba road. You can also apply online via :https://iuea.ac.ug/Applicationform/ .",,,,,,,,,,,,,,,,,,,,,,,,
What is the physical application process,"The physical application process is as follows:
1. Please bring a copy of your Academic Documents, National ID, or Passport copy and $15 (UGX 50,000) for the application form.
2. Come to the marketing department for a member of the team to review your transcript.
3. Upon their approval, proceed to purchase an application form.
4. Carefully fill in the application form. You may fill it in from the marketing department and ask a member of the marketing department for guidance if needed.
Please let us know once you have successfully applied or if you require assistance through the application process.",,,,,,,,,,,,,,,,,,,,,,,,
What are the application fees? ,"The application fee for any course is 50,000 UGX. Only the English course has a reduced application fee of 15,000UGX",,,,,,,,,,,,,,,,,,,,,,,,
"If I apply online, how do I pay the application fee?","For students who apply online, the application fee can be paid to the university bank accounts alongside the tuition or when picking the physical copy of the admission letter",,,,,,,,,,,,,,,,,,,,,,,,
Can someone help me apply?,"If it's a physical application, you may fill it in from the marketing department and ask a member of the marketing department for guidance if needed",,,,,,,,,,,,,,,,,,,,,,,,
Who do I contact if I need help filling out the application form?,"For assistance with filling out the application form, feel free to reach out to Gerald, a member of our team, via WhatsApp at +256 753 956 178.",,,,,,,,,,,,,,,,,,,,,,,,
What are the application deadlines for next semester?,"Admissions are open all year round, however, please endevour to promptly submit all the required academic documents to join the current intake.",,,,,,,,,,,,,,,,,,,,,,,,
Can I apply for multiple programs?,"No, you cannot. To avoid compromising the educational experience, we only admit students into one academic program at a time, with the exception of short courses.",,,,,,,,,,,,,,,,,,,,,,,,
What are the application requirements for international students?,"In additions to the application requirements for all students, international students will be required to translate, if necessary, and equate documents to the Ugandan system.",,,,,,,,,,,,,,,,,,,,,,,,
Where can I equate my documents from?,Translation can be done at the Makerere Language Center. Equating of University documents is done at the National Council for Higher Education (NCHE) while the equating of high school documents is done at the Uganda National Examinations Board (UNEB). They are also required to apply for a student visa.,,,,,,,,,,,,,,,,,,,,,,,,
How can get a student VISA and at what cost?,"With the help of Madam Brenda from the students' affairs office, you can apply for a student VISA at a cost of 100 dollars. you can reach out to her via WhatsApp at +256758509857 or physically at her office next to the dean of students' office on the second floor of the main building.",,,,,,,,,,,,,,,,,,,,,,,,
How long does equating take?," The Uganda National Examinations Board (UNEB) usually takes between 5 working days to 2 weeks for equating, while the National Council for Higher Education (NCHE) may take anywhere from 2 weeks to a month.",,,,,,,,,,,,,,,,,,,,,,,,
Can I apply and start my course before my documents have been equated?,"After you apply, our admissions team will review your documents and provide guidance on how to proceed. For more details, feel free to reach out to our admissions team at apply@iuea.ac.ug or call +256 705 722 300 / +256 790002000",,,,,,,,,,,,,,,,,,,,,,,,
How can I check the status of my application?,"You can check the status of your application with our admission team via the email address, apply@iuea.ac.ug or call +256 705 722 300 / +256 790002000",,,,,,,,,,,,,,,,,,,,,,,,
What intakes are available?,"A year has three intakes, namely a January, May and August. Most students study for two semesters and take the third semester as a vacation.",,,,,,,,,,,,,,,,,,,,,,,,
Am I too late to apply?,You are not too late. Admissions are open all year round. You can apply at https://iuea.ac.ug/Applicationform/. We only request that you promptly submit all the required documents to join a specified . ,,,,,,,,,,,,,,,,,,,,,,,,
When are classes for the August 2025 intake starting?,Classes for new students for our August intake will officially start on the 18th of August with orientation and continuing student will start their classes on the 25th of August. Please remember that all new students are encouraged to attend orientation.,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: APPLICATION CRITERIA,,,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements for applying to a program?,"You must have completed Senior 6 (A level) or hold the Uganda Advanced Certificate of Education (UACE), or an equivalent qualification. If your country does not have A levels, you can apply after completing Senior 4 (UCE – Uganda Certificate of Education) or O levels and proceed to the Higher Education Access Programme, which prepares you for a degree. Applicants with only UCE or O levels can also apply, but only for specific short courses, such as: CISCO certification courses; English Language Courses",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: IMMIGRATION,,,,,,,,,,,,,,,,,,,,,,,,,
How do I maintain my visa status?,"By ensuring that your student visa expiration date is valid. For more info, visit the dean of students office.",,,,,,,,,,,,,,,,,,,,,,,,
Are there any international student groups?,There are over 20 international student groups at IUEA.,,,,,,,,,,,,,,,,,,,,,,,,
Where can I find English language support services?,IUEA has the Center of Languages and Professional Skills (CLAPS) located next to the cafeteria and student counsellor's office.,,,,,,,,,,,,,,,,,,,,,,,,
Where can I find French language support services?,IUEA has the French Language Centre. Interested students can register for classes with Hilma at the IUEA reception area,,,,,,,,,,,,,,,,,,,,,,,,
How do I get involved with the international office?,International student services are available in the office of the dean of students. The office of the dean of students is located on the main campus and is open from 8 am to 5 pm.,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: ADMISSION & WITHDRAWAL,,,,,,,,,,,,,,,,,,,,,,,,,
When will I receive my admission decision?,"All official communication from the university will come through email, which includes your admission decision. The status of your admission will be communicated to you within two working days.",,,,,,,,,,,,,,,,,,,,,,,,
Who do I contact if I take too long to receive an admission decision?,"To get the status of your application or admission, please contact our admission department at apply@iuea.ac.ug or call +256 705 722 300 / +256 790002000",,,,,,,,,,,,,,,,,,,,,,,,
How do I enroll in classes?,"After completing the application process, recieving an admission and making a deposit on your tuition, you can complete the registration process by contacting Mr. Nahom from our admissions team via the email: reg@iuea.ac.ug or come to the on-campus admission office.",,,,,,,,,,,,,,,,,,,,,,,,
Can I enroll in classes if I have holds on my account?,No. Please confirm the status of your accounts with our admissions team by emailing apply@iuea.ac.ug or calling +256 705 722 300 / +256 790002000,,,,,,,,,,,,,,,,,,,,,,,,
How do I find out about class prerequisites?,Please kindly contact the faculty administrator of your respective faculty.,,,,,,,,,,,,,,,,,,,,,,,,
Can I defer my admission to the next year?,For deferment of admission please send an email to apply@iuea.ac.ug or call +256 705 722 300 / +256 790002000,,,,,,,,,,,,,,,,,,,,,,,,
What is the process for withdrawing from the university?,"Write a letter to the Dean of the faculty, informing the Dean that the student wants to withdraw.",,,,,,,,,,,,,,,,,,,,,,,,
What is the next step after receiving my admission letter?,"After receiving your admission letter, you can proceed to pay your tuition and start the registration process ",,,,,,,,,,,,,,,,,,,,,,,,
How do I register ,"After completing the application process, receiving admission, and making a deposit on your tuition, you can complete the registration process by contacting Mr. Nahom from our admissions team at reg@iuea.ac.ug or visiting the on-campus admission office.",,,,,,,,,,,,,,,,,,,,,,,,
How do I change my registration details?,Please kindly send an email detailing the changes to apply@iuea.ac.ug. ,,,,,,,,,,,,,,,,,,,,,,,,
How do I get a student ID card?,"After applying and being given an admission, a student has a student account created on the Learning Management System and on it, the student requests for an ID in the SIS section and its process begins, when its ready within a few days, an email is sent to the student telling them to go and pick their physical ID from the ICT department.",,,,,,,,,,,,,,,,,,,,,,,,
How do I set up my university email?,"To set up your university email, please kindly see the ICT department located on the second floor of the main building or send an email to ict@iuea.ac.ug.",,,,,,,,,,,,,,,,,,,,,,,,
How do I update my personal information with the university?,"To update your student online account details, please kindly contact Nahom from the admissions department via the email, reg@iuea.ac.ug.",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: ACADEMIC ENTRY REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,
What is the A-Level grading system in Uganda and what are principal passes?,"In Uganda, the Uganda Advanced Certificate of Education (UACE)  commonly known as A-Level  is assessed by the Uganda National Examinations Board (UNEB). Students typically take 3 principal subjects and sometimes subsidiary subjects like General Paper or Subsidiary Mathematics. Each principal subject is graded as follows: A (Excellent) = 6 points. B (Very Good) = 5 points. C (Good) = 4 points. D (Fair) = 3 points. E (Satisfactory) = 2 points. O (Subsidary Pass) = 1 point. F (Fail) = 0 points. A principal pass is any grade from A to E. Grades O and F are not considered principal passes. To qualify for university admission under most programs, students are generally required to have at least two principal passes, though competitive programs may require three. Subsidiary subjects like General Paper or Subsidiary Mathematics are graded out of 1 point and do not count as principal passes, but they can influence overall points for admission or weighting in selection processes.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Master of Business Administration,"To apply for a Master of Business Administration (MBA), applicants must have at least a 'Second Class lower division' In any Science or Art undergraduate degree",,,,,SUB-CATEGORY: ADMISSION & WITHDRAWAL,,SUB-CATEGORY: ADMISSION & WITHDRAWAL,,SUB-CATEGORY: ADMISSION & WITHDRAWAL,,SUB-CATEGORY: ADMISSION & WITHDRAWAL,,SUB-CATEGORY: ADMISSION & WITHDRAWAL,,SUB-CATEGORY: ADMISSION & WITHDRAWAL,,SUB-CATEGORY: ADMISSION & WITHDRAWAL,,SUB-CATEGORY: ADMISSION & WITHDRAWAL,,SUB-CATEGORY: ADMISSION & WITHDRAWAL,,SUB-CATEGORY: ADMISSION & WITHDRAWAL,
What are the academic requirements to apply for a Master of Information Technology,"To be eligible for a Master of Information Technology, applicants must hold at least a 'Second Class lower division'  undergraduate degree in Computer Science, Information Technology, or a related field from a recognised university or institution. A Postgraduate Diploma in Computer Science, Information Technology, or a closely related discipline is also acceptable.
",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Science in Civil Engineering ,"Applicants must have at least two Principal Passes in Physics and Mathematics at UACE or an equivalent qualification.
Alternatively, applicants may qualify if they hold a diploma from a recognised institution in a relevant field such as Civil Engineering, Water & Sanitation Engineering, Architecture, or other related areas. Diplomas in Science Technology (Physics or Chemistry), Mechanical Engineering, Industrial Ceramics, Refrigeration & Air Conditioning, or Electrical Engineering are also acceptable. Additionally, applicants with a bachelor's degree in the Physical Sciences may be considered.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Science in Electrical Engineering,"To be eligible, applicants must have at least two Principal Passes in Physics and Mathematics at UACE or an equivalent qualification. ",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Science in Petroleum Engineering ," Applicants must have at least two Principal Passes in Chemistry and Mathematics or Mathematics and Physics at UACE or an equivalent qualification. 
",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Architecture,"To apply for a Bachelor of Architecture, applicants must have at least two Principal Passes in either Physics and Mathematics or Mathematics and Technical Drawing at UACE or an equivalent qualification. ",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Science in Mechatronics and Robotics Engineering,"To apply, you need at least two principal passes at ""A Level,"" with one in Mathematics or Physics (minimum grade D), and at least five passes at ""O Level."" If you have a diploma in Mechanical, Electrical, Electronic, or Mechatronic Engineering from a recognized institution, you qualify for direct entry. Students without ""A Levels"" must complete a Foundation or Higher Education program. International Baccalaureate students need a minimum of 26 points. If you already have a Bachelor's degree in Electrical, Electronics/Communications, or Mechanical Engineering, you may also qualify for entry. ",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Science in Mining Engineering,"To qualify, you need at least two principal passes at ""A Level,"" with one in Mathematics and Physics, and at least five passes at ""O Level."" If you have a diploma in Electrical, Electronics/Communications, or Computing from a recognised institution, you may enter directly into the second year, subject to an interview. Students without ""A Levels"" must complete a Foundation or Higher Education program. International Baccalaureate students need a minimum of 26 points.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Science in Communications Engineering?,"To apply, you need at least two principal passes in Physics and Mathematics at ""A Level"" or an equivalent qualification. Subjects like Chemistry, Economics, or Technical Drawing can also support your application. If you have a diploma from a recognised institution in fields like Civil Engineering, Water & Sanitation Engineering, Architecture, Mechanical Engineering, Electrical Engineering, or related areas, you qualify for direct entry. Applicants with a Bachelor's degree in the Physical Sciences may also be eligible.
",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Diploma in Civil Engineering,"Applicants must have at least one Principal Pass in Mathematics and at least two Subsidiary Passes in any other subject at UACE or an equivalent qualification. When computing entry points, Mathematics is considered essential.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Diploma in Electrical Engineering,"Applicants must have at least one Principal Pass in Mathematics and at least two Subsidiary Passes in any other subject at UACE or an equivalent qualification. When computing entry points, Mathematics is considered essential.",,,,,,,,,,,,,,,,,,,,,,,,
"What are the academic requirements to apply for a Diploma in Architecture?
","Applicants must have at least one Principal Pass in Mathematics and at least two Subsidiary Passes in any other subject at UACE or an equivalent qualification. When computing entry points, Mathematics is considered essential.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Science in Computer Science ,"To apply, you need a principal pass in Mathematics and one other principal pass at UACE or an equivalent qualification. Alternatively, a diploma in Information Technology, Computer Science, Information Systems, Mathematics, or a related field from a recognized institution is accepted.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Information Technology ,"You need at least two principal passes in relevant arts or science subjects at UACE or an equivalent qualification, plus at least a pass in Mathematics at UCE. A diploma in IT, Computer Science, Information Systems, Mathematics, or a related field is also accepted.",,,,,,,,,,,,,,,,,,,,,,,,
"What are the academic requirements to apply for a Bachelor of Science in Environment Science and Management 
","You must have at least two principal passes in Biology, Chemistry, Physics, Mathematics, Agriculture, Economics, or Geography at UACE. Alternatively, a relevant diploma from a recognized institution is also accepted.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Science in Software Engineering,"You need a principal pass in Mathematics and one other principal pass at UACE or an equivalent qualification. A diploma in IT, Computer Science, Information Systems, Mathematics, or a related field is also accepted.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Science in Climate-Smart Agriculture ,"For direct entry, you need at least two principal passes in Biology, Chemistry, or Agriculture at UACE and a credit in Biology, Agriculture, Mathematics, Physics, Commerce, or Chemistry at UCE. Diploma holders need a second-class diploma in Agriculture with at least a credit in three science subjects at UCE. Those with a Higher Education Certificate in Physical or Biological Sciences may also apply.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for the Higher Education Access Programme in Sciences?,"You need at least two subsidiary passes or one principal pass at UACE or an equivalent qualification. Foreign students must have completed secondary education and be eligible for university admission in their home country, with at least five subjects passed. Those who studied in a non-English system must prove English proficiency.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Business Administration ,"You need at least two principal passes in relevant arts or science subjects at UACE or an equivalent qualification, plus at least a pass in Mathematics at UCE. A diploma in Business or a related field from a recognized institution is also accepted.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Public Administration ,"You need at least two principal passes in relevant arts or science subjects at UACE or an equivalent qualification, plus at least a pass in Mathematics at UCE. A diploma in Business or a related field from a recognized institution is also accepted.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Human Resource Management?,"You must have at least two principal passes in relevant arts or science subjects at UACE or an equivalent qualification, plus at least a pass in Mathematics at UCE. A diploma in Business or a related field from a recognised institution is also accepted.",,,,,,,,,,,,,,,,,,,,,,,,
"What are the academic requirements to apply for a Bachelor of Procurement Logistics Management
","You need at least two principal passes in relevant arts or science subjects at UACE or an equivalent qualification, plus at least a pass in Mathematics at UCE. A diploma in Business or a related field from a recognized institution is also accepted.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Tourism and Hotel Management?,"You must have at least two principal passes in relevant arts or science subjects at UACE or an equivalent qualification, plus at least a pass in Mathematics at UCE. A diploma in Business or a related field from a recognized institution is also accepted.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for the Higher Education Access Programme in Arts,"You need at least two subsidiary passes or one principal pass at UACE or an equivalent qualification. Foreign students must have completed secondary education and be eligible for university admission in their home country, with at least five subjects passed. Those who studied in a non-English system must prove English proficiency.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Journalism and Communication Studies,"You must have at least two principal passes at UACE or an equivalent qualification. Alternatively, a recognised institution's diploma in Journalism or Mass Communication (second class) is accepted. 

",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of International Relations and Diplomatic Studies,"You must have at least two principal passes at UACE or an equivalent qualification. Alternatively, a diploma in International Relations and Diplomatic (second class) from a recognised institution is accepted. 

",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Master of International Relations and Diplomatic Studies,"To apply for a Master of International Relations and Diplomatic Studies, applicants must have at least a 'Second Class lower division' In any Science or Art undergraduate degree. The course is mostly designed for career civil servants, diplomats and administrators. The course is open to people with a postgraduate diploma in any related field and a business and law background. Personnel with a background in science and technology courses and engineering do not qualify for the course.",,,,,,,,,,,,,,,,,,,,,,,,
What are the academic requirements to apply for a Bachelor of Law ,"You must have at least two principal passes at UACE or an equivalent qualification. Alternatively, a diploma in law (second class) or a degree from a recognized institution is accepted. 

",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: FOUNDATION ENTRY REQUIREMENTS,,,,,,,,,,,,,,,,,,,,,,,,,
"I recently completed UCE / Senior Four in 2023, which program do i qualify for in IUEA? ","Requirements for Application: You must have completed Senior 6 ('A level') or hold the Uganda Advanced Certificate of Education (UACE), or an equivalent qualification. If your country does not have 'A level', you can apply after completing Senior 4 (UCE – Uganda Certificate of Education) or 'O level' and proceed to the Higher Education Access Programme, which prepares you for a degree. Applicants with only UCE or 'O level' or Senior Four can also apply, but only for specific short courses, such as: CISCO certification courses; English and French Language Courses",,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
CATEGORY: PAYMENTS AND ACCOUNTS,,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: HOW TO MAKE PAYMENTS,,,,,,,,,,,,,,,,,,,,,,,,,
How do I pay the application fee?,"The application fee is paid when you are picking a physical application form, however, those who apply online can simply add it to their tuition, thus paying it in the same manner.",,,,,,,,,,,,,,,,,,,,,,,,
How do I pay my tuition?,"If you are in Kampala and would like to pay your tuition, please kindly come to the university to pick up a bank slip, fill it in and proceed to the nearest ABSA, DFCU or United Bank of Africa Bank Branch. Please make sure to clearly indicate the student's details as indicated in the admission letter.",,,,,,,,,,,,,,,,,,,,,,,,
What is IUEA's bank account number for ABSA bank?,"In ABSA (Requires additional 2 dollars), the Account Number for USD is 06006848131 and the account number for UGX is 6006848158. Please note that the name of Beneficiary should be INTERNATIONAL UNIVERSITY OF EAST AFRICA.",,,,,,,,,,,,,,,,,,,,,,,,
What is IUEA's bank account number for DFCU bank?,"In DFCU Bank, the Account Number for USD is 02103502458724 and the account number for UGX is 01103502458706. Please note that the name of Beneficiary should be INTERNATIONAL UNIVERSITY OF EAST AFRICA.",,,,,,,,,,,,,,,,,,,,,,,,
What is IUEA's bank account number for United Bank of Africa bank?,"In United Bank of Africa, the Account Number for USD is 0513000489 and the account number for UGX is 0503001160. Please note that the name of Beneficiary should be INTERNATIONAL UNIVERSITY OF EAST AFRICA.",,,,,,,,,,,,,,,,,,,,,,,,
How do I pay my tuition outside of Uganda?,"You can transfer the money from your bank account to the university account using the following information.
Beneficiary Account Number: 02103502458724
Beneficiary Account Name: INTERNATIONAL UNIVERSITY OF EAST AFRICA
Bank Name & Address: DFCU BANK, NSAMBYA BRANCH, KAMPALA, UGANDA
Swift Code: DFCUUGKA""",,,,,,,,,,,,,,,,,,,,,,,,
How do I set up a payment plan for tuition?,The payment plan for tuition can be arranged with the finance office.,,,,,,,,,,,,,,,,,,,,,,,,
How do I check my account balance?,"To check the balance on your tuition, please kindly contact our accounts either at the accounts office opposite the reception or via the email accounts@iuea.ac.ug.",,,,,,,,,,,,,,,,,,,,,,,,
Do you have mobile money?,"No. All tuition payments are to be made at the bank. IUEA has bank accounts in DFCU, United Bank of Africa and ABSA .",,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: DISCOUNTS ,,,,,,,,,,,,,,,,,,,,,,,,,
Do you offer any discounts?,There is a 25-30% discount off tuition for transfer students who wish to complete their program from IUEA. We also offer a discount of 5% when you make full payment within two weeks from when the semester starts.,,,,,,,,,,,,,,,,,,,,,,,,
SUB-CATEGORY: SCHOLARSHIPS AND FINANCIAL AID,,,,,,,,,,,,,,,,,,,,,,,,,
What scholarships are available for undergraduates/graduates?,"At IUEA, we are committed to fostering academic excellence and providing opportunities for all. Our merit-based scholarships include: Academic, Innovation, Sports, Disadvantaged Women, Staff Development, and African Scholar Scholarships. To apply, simply obtain a physical copy of the scholarship application form from our marketing office, free of charge. While each scholarship has specific requirements, please note that completing the admission process and obtaining an admission letter are prerequisites for most scholarships. Once you've completed the form and gathered the necessary documents, submit them to the marketing department. Your application will then be reviewed by university authorities, who will make a decision. Join us in shaping your academic journey today.",,,,,,,,,,,,,,,,,,,,,,,,
When is the deadline for scholarship applications?,"We have various deadlines for scholarships depending on the type of scholarship you're applying for, so please come to the marketing office for more information.",,,,,,,,,,,,,,,,,,,,,,,,
How do I apply for Bursary?,"For guidance on how to apply for financial aid, please send an email to accounts@iuea.ac.ug",,,,,,,,,,,,,,,,,,,,,,,,
How do I submit my financial aid documents?,"Once you’ve completed the admission process and received your admission letter, you can pick up a physical scholarship form from the Marketing Department. Fill out the form, gather all the required documents, and submit them directly to the Marketing Department. At the moment, scholarship forms are not available digitally. ",,,,,,,,,,,,,,,,,,,,,,,,
When will I receive my financial aid package?,"You will be notified if you’ve been awarded a scholarship. The final decision is made at the full discretion of the Scholarship Committee, and you’ll be informed as soon as the decision is reached.",,,,,,,,,,,,,,,,,,,,,,,,
How do I appeal a bursary aid decision?,By writing to the IUEA accounts office ,,,,,,,,,,,,,,,,,,,,,,,,
